codmun,ano,is_top_100,regiao
170025,2010,0,Norte
170030,2007,0,Norte
170030,2010,0,Norte
170035,2007,0,Norte
170035,2010,0,Norte
170040,2007,0,Norte
170040,2010,0,Norte
170100,2007,0,Norte
170100,2010,0,Norte
170105,2007,0,Norte
170105,2010,0,Norte
170110,2007,0,Norte
170110,2010,0,Norte
170130,2007,0,Norte
170130,2010,0,Norte
170190,2007,0,Norte
170190,2010,0,Norte
170200,2007,0,Norte
170200,2010,0,Norte
170210,2007,0,Norte
170210,2010,0,Norte
170220,2007,0,Norte
170220,2010,0,Norte
170230,2007,0,Norte
170230,2010,0,Norte
170240,2007,0,Norte
170240,2010,0,Norte
170255,2007,0,Norte
170255,2010,0,Norte
170270,2007,0,Norte
170270,2010,0,Norte
170290,2007,0,Norte
170290,2010,0,Norte
170300,2007,0,Norte
170300,2010,0,Norte
170305,2007,0,Norte
170305,2010,0,Norte
170307,2007,0,Norte
170307,2010,0,Norte
170310,2007,0,Norte
170310,2010,0,Norte
170320,2007,0,Norte
170320,2010,0,Norte
170330,2007,0,Norte
170330,2010,0,Norte
170330,2010,0,Norte
170330,2010,0,Norte
170330,2010,0,Norte
170360,2007,0,Norte
170360,2010,0,Norte
170370,2007,0,Norte
170370,2010,0,Norte
170380,2007,0,Norte
170380,2010,0,Norte
170384,2007,0,Norte
170384,2010,0,Norte
170386,2007,0,Norte
170386,2010,0,Norte
170388,2007,0,Norte
170388,2010,0,Norte
170389,2007,0,Norte
170389,2010,0,Norte
170390,2007,0,Norte
170390,2010,0,Norte
170460,2007,0,Norte
170460,2010,0,Norte
170510,2007,0,Norte
170510,2010,0,Norte
170550,2007,0,Norte
170550,2010,0,Norte
170555,2007,0,Norte
170555,2010,0,Norte
170560,2007,0,Norte
170560,2010,0,Norte
170600,2007,0,Norte
170600,2010,0,Norte
170610,2007,0,Norte
170610,2010,0,Norte
170625,2007,0,Norte
170625,2010,0,Norte
170650,2007,0,Norte
170650,2010,0,Norte
170700,2007,0,Norte
170700,2010,0,Norte
170710,2007,0,Norte
170710,2010,0,Norte
170720,2007,0,Norte
170720,2010,0,Norte
170730,2007,0,Norte
170730,2010,0,Norte
170765,2007,0,Norte
170765,2010,0,Norte
170820,2007,0,Norte
170820,2010,0,Norte
170825,2007,0,Norte
170825,2010,0,Norte
170830,2007,0,Norte
170830,2010,0,Norte
170900,2007,0,Norte
170900,2010,0,Norte
170930,2007,0,Norte
170930,2010,0,Norte
170950,2007,0,Norte
170950,2010,0,Norte
171050,2007,0,Norte
171050,2010,0,Norte
171070,2007,0,Norte
171070,2010,0,Norte
171090,2007,0,Norte
171090,2010,0,Norte
171110,2007,0,Norte
171110,2010,0,Norte
171150,2007,0,Norte
171150,2010,0,Norte
171180,2007,0,Norte
171180,2010,0,Norte
171190,2007,0,Norte
171190,2010,0,Norte
171195,2007,0,Norte
171195,2010,0,Norte
171215,2007,0,Norte
171215,2010,0,Norte
171240,2007,0,Norte
171240,2010,0,Norte
171245,2007,0,Norte
171245,2010,0,Norte
171250,2007,0,Norte
171250,2010,0,Norte
171270,2007,0,Norte
171270,2010,0,Norte
171280,2007,0,Norte
171280,2010,0,Norte
171320,2007,0,Norte
171320,2010,0,Norte
171330,2007,0,Norte
171330,2010,0,Norte
171360,2007,0,Norte
171360,2010,0,Norte
171370,2007,0,Norte
171370,2010,0,Norte
171380,2007,0,Norte
171380,2010,0,Norte
171395,2007,0,Norte
171395,2010,0,Norte
171500,2007,0,Norte
171500,2010,0,Norte
171510,2007,0,Norte
171510,2010,0,Norte
171515,2007,0,Norte
171515,2010,0,Norte
171525,2007,0,Norte
171525,2010,0,Norte
171550,2007,0,Norte
171550,2010,0,Norte
171570,2007,0,Norte
171570,2010,0,Norte
171575,2007,0,Norte
171575,2010,0,Norte
171610,2007,0,Norte
171610,2010,0,Norte
171630,2007,0,Norte
171630,2010,0,Norte
171630,2010,0,Norte
171630,2010,0,Norte
171630,2010,0,Norte
171650,2007,0,Norte
171650,2010,0,Norte
171660,2007,0,Norte
171660,2010,0,Norte
171665,2007,0,Norte
171665,2010,0,Norte
171670,2007,0,Norte
171670,2010,0,Norte
171700,2007,0,Norte
171700,2010,0,Norte
171720,2007,0,Norte
171720,2010,0,Norte
171750,2007,0,Norte
171750,2010,0,Norte
171780,2007,0,Norte
171780,2010,0,Norte
171790,2007,0,Norte
171790,2010,0,Norte
171800,2007,0,Norte
171800,2010,0,Norte
171820,2007,0,Norte
171820,2010,0,Norte
171830,2007,0,Norte
171830,2010,0,Norte
171845,2007,0,Norte
171845,2010,0,Norte
171850,2007,0,Norte
171850,2010,0,Norte
171865,2007,0,Norte
171865,2010,0,Norte
171870,2007,0,Norte
171870,2010,0,Norte
171875,2007,0,Norte
171875,2010,0,Norte
171880,2007,0,Norte
171880,2010,0,Norte
171884,2007,0,Norte
171884,2010,0,Norte
171886,2007,0,Norte
171886,2010,0,Norte
171888,2007,0,Norte
171888,2010,0,Norte
171889,2007,0,Norte
171889,2010,0,Norte
171890,2007,0,Norte
171890,2010,0,Norte
171900,2007,0,Norte
171900,2010,0,Norte
172000,2007,0,Norte
172000,2010,0,Norte
